Timestamp,Q1] what is your Age?,Q2]  what is your Gender?,Q3]  What is your highest completed education level? ,4]  Which of the following best describes your current occupation? ,"5]  On average, how much do you invest in stocks per month? ",  6]  Which type of investment do you prefer the most?  ,  7]  Which sector do you prefer for your investments?  ,  8]  How frequently do you trade or invest in stocks?  ,  9]  What is your level of risk tolerance when it comes to investments?  ,  10]  What has the biggest influence on your investment decisions?  
8/12/2025 1:13:36,19,Female,Undergraduate,Student,"₹1,000",Stocks,FMCG,Weekly,Medium,Analysts
8/12/2025 1:20:44,19,Male,High School,Student,"₹1,000",Mutual Funds,IT,Rarely,High,Analysts
8/12/2025 1:53:11,2,Other,High School,Retired,"₹20,000",Crypto,FMCG,Rarely,High,Friends/Family
8/12/2025 6:44:51,19,Female,High School,Student,"₹5,000",Stocks,Pharma,Monthly,Medium,Analysts
8/12/2025 11:31:29,18,Female,High School,Student,,Mutual Funds,Banking,Monthly,Medium,Friends/Family
8/12/2025 12:32:44,42,Male,Undergraduate,Employed,"₹5,000",Crypto,FMCG,Rarely,High,Other
8/12/2025 12:34:13,56,Male,Postgraduate,Student,"₹10,000",Bonds,Pharma,Daily,High,Analysts
8/12/2025 12:35:47,20,Female,Undergraduate,Student,"₹1,000",Mutual Funds,FMCG,Monthly,Low,Friends/Family
8/12/2025 12:36:38,59,Male,Doctorate,Employed,"₹20,000",Crypto,IT,Monthly,High,Analysts
8/12/2025 12:37:35,19,Female,High School,Student,"₹1,000",Stocks,FMCG,Rarely,Low,Friends/Family
8/12/2025 12:38:24,43,Male,Postgraduate,Self-Employed,"₹20,000",Mutual Funds,Automobile,Weekly,Medium,Other
8/12/2025 12:39:03,63,Male,Undergraduate,Unemployed,"₹5,000",Mutual Funds,Pharma,Monthly,Medium,Friends/Family
8/12/2025 12:39:42,76,Male,Doctorate,Retired,"₹50,000",Crypto,IT,Weekly,High,Other
8/12/2025 12:40:37,69,Male,Postgraduate,Self-Employed,"₹10,000",Stocks,FMCG,Weekly,Medium,News
8/12/2025 12:41:54,30,Male,Undergraduate,Unemployed,"₹10,000",Crypto,Banking,Daily,Medium,Social Media
8/12/2025 12:43:00,33,Female,Postgraduate,Employed,"₹50,000",Bonds,IT,Monthly,Low,Analysts
8/12/2025 12:44:50,57,Other,Postgraduate,Self-Employed,"₹5,000",Bonds,FMCG,Rarely,High,Social Media
8/12/2025 12:45:37,42,Female,Undergraduate,Unemployed,"₹10,000",Mutual Funds,Banking,Rarely,Medium,News
8/12/2025 12:46:23,47,Female,Postgraduate,Self-Employed,"₹20,000",Bonds,Banking,Monthly,Medium,News
8/12/2025 12:46:55,26,Male,Undergraduate,Self-Employed,"₹1,000",Mutual Funds,Banking,Monthly,Low,Other
8/12/2025 12:47:30,35,Male,Doctorate,Employed,"₹5,000",Mutual Funds,FMCG,Monthly,High,News
8/12/2025 12:48:07,46,Female,Postgraduate,Retired,"₹1,000",ETFs,Automobile,Monthly,Low,Friends/Family
8/12/2025 12:48:59,58,Other,Postgraduate,Retired,"₹10,000",Mutual Funds,Banking,Rarely,Medium,Analysts
8/12/2025 12:50:36,27,Male,Undergraduate,Student,"₹1,000",Mutual Funds,Automobile,Weekly,Low,Friends/Family
8/12/2025 12:51:23,44,Male,Undergraduate,Employed,"₹1,000",Bonds,Banking,Monthly,Low,Friends/Family
8/12/2025 12:52:38,42,Female,Undergraduate,Self-Employed,"₹20,000",Crypto,IT,Weekly,High,Social Media
8/12/2025 12:55:19,18,Female,High School,Student,"₹10,000",Stocks,IT,Monthly,High,Analysts
8/12/2025 12:55:41,60,Female,Doctorate,Retired,"₹5,000",Bonds,IT,Daily,High,Social Media
8/12/2025 12:58:32,26,Other,Undergraduate,Self-Employed,"₹5,000",Bonds,Banking,Daily,Medium,Other
8/12/2025 13:06:05,21,Male,Undergraduate,Unemployed,"₹1,000",Crypto,FMCG,Monthly,Low,Friends/Family
8/12/2025 13:06:43,24,Female,Undergraduate,Unemployed,"₹1,000",Stocks,IT,Rarely,Low,Friends/Family
8/12/2025 13:08:50,45,Male,Doctorate,Employed,"₹50,000",Crypto,IT,Monthly,High,Analysts
8/12/2025 13:09:45,43,Male,Postgraduate,Employed,"₹20,000",Mutual Funds,Pharma,Monthly,Medium,Analysts
8/12/2025 13:10:14,19,Female,High School,Student,"₹1,000",Crypto,IT,Monthly,Low,Social Media
8/12/2025 13:11:01,19,Female,High School,Student,,,,,,
